date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2019-10-31,10.05,10.21,9.86,9.98,86597533,-0.13,-1.29%,9.98,866390998.16,139954
2019-10-30,9.78,10.37,9.71,10.11,215875180,1.04,11.47%,10.11,2168090992.04,354057
2019-10-29,9.01,9.14,8.93,9.07,45669614,0.00,0.00%,9.07,413913347.97,90192
2019-10-28,9.02,9.12,8.99,9.07,31721516,0.07,0.78%,9.07,287256821.02,61642
2019-10-25,8.92,9.09,8.92,9.00,42142696,0.05,0.56%,9.00,379947337.18,73047
2019-10-24,9.12,9.15,8.88,8.95,37014161,-0.19,-2.08%,8.95,331892952.70,60916
2019-10-23,8.98,9.15,8.93,9.14,47643559,0.08,0.88%,9.14,431926262.53,71424
2019-10-22,8.77,9.06,8.61,9.06,60158736,0.27,3.07%,9.06,532161291.04,95253
2019-10-21,8.99,9.12,8.76,8.79,63773716,-0.17,-1.90%,8.79,563921826.00,80704
2019-10-18,9.0099,9.10,8.95,8.96,39012896,-0.08,-0.88%,8.96,350800293.62,61394
2019-10-17,8.92,9.09,8.88,9.04,33299431,0.14,1.57%,9.04,301025857.26,59743
2019-10-16,8.86,9.07,8.835,8.90,58143723,0.01,0.11%,8.90,520645990.72,82107
2019-10-15,8.74,8.92,8.6105,8.89,39372618,0.17,1.95%,8.89,347108015.97,67573
2019-10-14,8.84,8.85,8.64,8.72,34257650,-0.08,-0.91%,8.72,299018822.98,71914
2019-10-11,8.59,8.92,8.58,8.80,56319664,0.35,4.14%,8.80,495813597.52,101890
2019-10-10,8.34,8.52,8.31,8.45,33747888,0.10,1.20%,8.45,284843345.27,58964
2019-10-09,8.31,8.37,8.24,8.35,33176279,0.07,0.85%,8.35,275400339.49,71382
2019-10-08,8.48,8.4997,8.27,8.28,45759145,-0.28,-3.27%,8.28,382471132.65,86597
2019-10-07,8.55,8.65,8.48,8.56,32477616,-0.01,-0.12%,8.56,278135672.74,62262
2019-10-04,8.61,8.70,8.54,8.57,52492856,-0.14,-1.61%,8.57,451722023.02,88241
2019-10-03,8.50,8.71,8.25,8.71,58743734,0.20,2.35%,8.71,500130640.22,90787
2019-10-02,8.56,8.62,8.41,8.51,47636253,-0.10,-1.16%,8.51,405734258.40,91609
2019-10-01,8.96,9.035,8.51,8.61,68927424,-0.33,-3.69%,8.61,597952778.43,118965
2019-09-30,9.08,9.10,8.94,8.94,35335710,-0.10,-1.11%,8.94,317193827.67,59373
2019-09-27,9.04,9.17,8.99,9.04,30510133,0.02,0.22%,9.04,276627534.81,56646
