date,TSLA,MSFT,GE
2019-01-02,310.12,99.6466,7.7134
2019-01-03,300.36,95.9808,7.7229
2019-01-04,317.69,100.4448,7.8858
2019-01-07,334.96,100.5729,8.3745
2019-01-08,335.35,101.3021,8.202
2019-01-09,338.53,102.7507,8.1445
2019-01-10,344.97,102.0904,8.5661
2019-01-11,347.26,101.3021,8.5661
2019-01-14,334.4,100.56299999999999,8.5278
2019-01-15,344.43,103.4799,8.3649
2019-01-16,346.05,103.8445,8.6045
2019-01-17,347.31,104.5737,8.7578
2019-01-18,302.26,106.1406,8.6811
2019-01-22,298.92,104.1401,8.2978
2019-01-23,287.59,105.1551,8.3649
2019-01-24,291.51,104.6526,8.4128
2019-01-25,297.04,105.6084,8.7769
2019-01-28,296.38,103.5489,8.5566
2019-01-29,297.46,101.4401,8.5278
2019-01-30,308.77,104.8299,8.7194
2019-01-31,307.02,102.9084,9.7351
2019-02-01,312.21,101.2824,9.7639
2019-02-04,312.89,104.1993,9.783
2019-02-05,321.35,105.6577,10.1855
2019-02-06,317.22,104.485,10.0321
2019-02-07,307.51,103.7361,9.6393
2019-02-08,305.8,104.1303,9.3997
2019-02-11,312.84,103.7164,9.6105
2019-02-12,311.81,105.3325,9.5626
2019-02-13,308.17,105.2537,9.9363
2019-02-14,303.77,105.3424,9.6201
2019-02-15,307.88,106.6431,9.668
2019-02-19,305.64,106.5939,9.7064
2019-02-20,302.56,106.0397,9.6776
2019-02-21,291.23,108.2763,9.6105
2019-02-22,294.71,109.8201,9.7447
2019-02-25,298.77,110.4337,10.3675
2019-02-26,297.86,111.1957,10.627
2019-02-27,314.74,111.0077,10.8463
2019-02-28,319.88,110.8691,10.3578
2019-03-01,294.79,111.36399999999999,10.2382
2019-03-04,285.36,111.0968,10.3479
2019-03-05,276.54,110.5426,9.8594
2019-03-06,276.24,110.59200000000001,9.0818
2019-03-07,276.59,109.2461,9.4207
2019-03-08,284.14,109.3649,9.5604
2019-03-11,290.92,111.6609,9.8798
2019-03-12,283.36,112.4427,9.7401
2019-03-13,288.96,113.3135,9.9995
2019-03-14,289.96,113.4026,10.279000000000002
2019-03-15,275.43,114.7089,9.9397
2019-03-18,269.49,116.3517,10.1792
2019-03-19,267.47,116.4309,10.1692
2019-03-20,273.6,116.3023,10.1991
2019-03-21,274.02,118.9743,10.249
2019-03-22,264.53,115.8371,9.9596
2019-03-25,260.42,116.4408,9.8598
2019-03-26,267.77,116.6882,10.0794
2019-03-27,274.83,115.56,9.9397
2019-03-28,278.62,115.7184,9.8698
2019-03-29,279.86,116.7179,9.9696
2019-04-01,289.18,117.7867,10.0794
2019-04-02,285.88,117.9549,10.2191
2019-04-03,291.81,118.7269,10.0794
2019-04-04,267.78,118.1232,10.0095
2019-04-05,274.96,118.6477,9.9896
2019-04-08,273.2,118.6873,9.4706
2019-04-09,272.31,118.044,9.2012
2019-04-10,276.06,118.9446,9.1413
2019-04-11,268.42,119.0831,9.1014
2019-04-12,267.7,119.6967,8.9816
2019-04-15,266.38,119.7957,8.9617
2019-04-16,273.36,119.5186,9.1213
2019-04-17,271.23,120.5082,9.1014
2019-04-18,273.26,122.0916,9.3309
2019-04-22,262.75,122.4776,9.301
2019-04-23,263.9,124.1402,9.311
2019-04-24,258.66,123.7146,9.301
2019-04-25,247.63,127.8117,9.1014
2019-04-26,235.14,128.5441,9.5505
2019-04-29,241.47,128.4253,9.7101
2019-04-30,238.69,129.2467,10.1492
2019-05-01,234.01,126.5549,10.0794
2019-05-02,244.1,124.9022,10.2291
2019-05-03,255.03,127.5643,10.4786
2019-05-06,255.34,126.8221,10.4087
2019-05-07,247.06,124.2194,10.0894
2019-05-08,244.84,124.2095,10.1393
2019-05-09,241.98,124.1996,10.0195
2019-05-10,239.52,125.8127,10.1093
2019-05-13,227.01,122.0718,9.8499
2019-05-14,232.31,123.4375,10.2989
2019-05-15,231.95,125.1758,10.2391
2019-05-16,228.33,128.0663,10.1093
2019-05-17,211.03,127.2121,9.9796
2019-05-20,205.36,125.3745,9.8598
2019-05-21,205.08,126.0499,9.9397
2019-05-22,192.73,126.8148,9.8798
2019-05-23,195.49,125.3348,9.5405
2019-05-24,190.63,125.3944,9.4307
2019-05-28,188.7,125.3149,9.3409
2019-05-29,189.86,124.1031,9.3509
2019-05-30,188.22,124.8878,9.4507
2019-05-31,185.16,122.8515,9.4207
2019-06-03,178.97,119.0372,9.5106
2019-06-04,193.6,122.335,9.9796
2019-06-05,196.59,124.9871,9.8698
2019-06-06,205.95,126.9638,9.8998
2019-06-07,204.5,130.5198,9.9596
2019-06-10,212.88,131.7117,10.0295
2019-06-11,217.1,131.2151,10.0993
2019-06-12,209.26,130.6092,10.259
2019-06-13,213.91,131.4336,10.289000000000001
2019-06-14,214.92,131.5628,10.2091
2019-06-17,225.03,131.9601,10.0295
2019-06-18,224.74,134.2546,10.3987
2019-06-19,226.43,134.781,10.3189
2019-06-20,219.62,136.0326,10.6083
2019-06-21,221.86,136.0525,10.4586
2019-06-24,223.64,136.857,10.259
2019-06-25,219.76,132.5362,10.1991
2019-06-26,219.27,133.0328,10.249
2019-06-27,222.84,133.2514,10.3788
2019-06-28,223.46,133.0626,10.4887
2019-07-01,227.17,134.7711,10.6185
2019-07-02,224.55,135.6651,10.6085
2019-07-03,234.9,136.5392,10.5985
2019-07-05,233.1,136.1419,10.4887
2019-07-08,230.34,136.0425,10.189
2019-07-09,230.06,135.5459,10.2389
2019-07-10,238.92,136.9266,10.189
2019-07-11,238.6,137.4729,10.0991
2019-07-12,245.08,137.9695,10.3588
2019-07-15,253.5,137.9695,10.2589
2019-07-16,252.38,136.1617,10.3688
2019-07-17,254.86,135.3572,9.9692
2019-07-18,253.54,135.5062,10.0491
2019-07-19,258.18,135.7048,10.0292
2019-07-22,255.68,137.5027,10.199
2019-07-23,260.17,138.3569,10.6385
2019-07-24,264.88,139.7774,10.6685
2019-07-25,228.82,139.2509,10.4187
2019-07-26,228.04,140.3932,10.4986
2019-07-29,235.77,140.0853,10.3688
2019-07-30,242.26,139.4098,10.5086
2019-07-31,241.61,135.3572,10.4387
2019-08-01,233.85,137.1352,10.0691
2019-08-02,234.34,135.9829,9.9892
2019-08-05,228.32,131.3244,9.6496
2019-08-06,230.75,133.7877,9.5597
2019-08-07,233.42,134.3738,9.4498
2019-08-08,238.3,137.9596,9.4798
2019-08-09,235.01,136.7875,9.1401
2019-08-12,229.01,134.8804,9.0402
2019-08-13,235.0,137.6716,9.3399
2019-08-14,219.62,133.5257,9.0202
2019-08-15,215.64,133.2267,8.0013
2019-08-16,219.94,135.6684,8.7805
2019-08-19,226.83,137.9407,8.6606
2019-08-20,225.86,136.7946,8.371
2019-08-21,220.83,138.3194,8.1512
2019-08-22,222.15,137.3128,8.1812
2019-08-23,211.4,132.9377,7.9614
2019-08-26,215.0,134.9907,8.0413
2019-08-27,214.08,135.2797,7.9214
2019-08-28,215.59,135.1003,7.9314
2019-08-29,221.71,137.6516,8.1012
2019-08-30,225.61,137.3925,8.2411
2019-09-03,225.01,135.5787,8.321
2019-09-04,220.68,137.1633,8.7905
2019-09-05,229.58,139.5751,8.8005
2019-09-06,227.45,138.6283,8.7006
2019-09-09,231.79,137.0537,8.9503
2019-09-10,235.54,135.6186,9.1301
2019-09-11,247.1,135.6584,9.3499
2019-09-12,245.87,137.0537,9.25
2019-09-13,245.2,136.8543,9.34
2019-09-16,242.81,135.8677,9.38
2019-09-17,244.79,136.9241,9.36
2019-09-18,243.49,138.0503,9.38
2019-09-19,246.6,140.5916,9.42
2019-09-20,240.62,138.9672,9.37
2019-09-23,241.23,138.6682,9.34
2019-09-24,223.21,136.9141,8.97
2019-09-25,228.7,138.8874,9.16
2019-09-26,242.56,139.0668,9.02
2019-09-27,242.13,137.263,9.04
2019-09-30,240.87,138.5585,8.94
2019-10-01,244.69,136.6052,8.61
2019-10-02,243.13,134.1934,8.51
2019-10-03,233.03,135.8179,8.71
2019-10-04,231.43,137.6516,8.57
2019-10-07,237.72,136.655,8.56
2019-10-08,240.05,135.2099,8.28
2019-10-09,244.53,137.7712,8.35
2019-10-10,244.74,138.6283,8.45
2019-10-11,247.89,139.2063,8.8
2019-10-14,256.96,139.0768,8.72
2019-10-15,257.89,141.0949,8.89
2019-10-16,259.75,139.9339,8.9
2019-10-17,261.97,139.2163,9.04
2019-10-18,256.95,136.944,8.96
2019-10-21,253.5,137.9606,8.79
2019-10-22,255.58,135.9076,9.06
2019-10-23,254.68,136.7746,9.14
2019-10-24,299.68,139.4655,8.95
2019-10-25,328.13,140.2528,9.0
2019-10-28,327.71,143.7011,9.07
2019-10-29,316.22,142.3457,9.07
2019-10-30,315.01,144.1196,10.11
2019-10-31,314.92,142.8838,9.98
