date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-01-31,282.73,283.30,280.68,281.90,118948131,0.136,0.05%,272.8399,33529342177.31,363005
2018-01-30,282.60,284.736,281.22,281.76,131796419,-2.826,-1.03%,272.7044,37182292251.56,383528
2018-01-29,285.93,286.43,284.50,284.68,90118337,-1.839,-0.66%,275.5306,25712881129.39,286719
2018-01-26,284.25,286.6285,283.96,286.58,107743119,3.175,1.16%,277.3695,30756196246.11,267026
2018-01-25,284.16,284.27,282.405,283.30,84587313,0.116,0.04%,274.1949,23962017270.36,267777
2018-01-24,284.02,284.70,281.84,283.18,134816117,-0.106,-0.04%,274.0788,38191581479.59,357700
2018-01-23,282.74,283.62,282.37,283.29,97084700,0.581,0.21%,274.1853,27485066132.12,232559
2018-01-22,280.17,282.69,280.11,282.69,91322408,2.207,0.81%,273.6045,25734269741.77,218511
2018-01-19,279.80,280.41,279.14,280.41,140920098,1.229,0.45%,271.3978,39432402178.78,244197
2018-01-18,279.48,279.96,278.58,279.14,100728006,-0.455,-0.17%,270.1686,28129525161.54,247932
2018-01-17,278.03,280.05,276.97,279.61,113258799,2.555,0.95%,270.6235,31582627570.37,262693
2018-01-16,279.35,280.09,276.18,276.97,106555142,-0.919,-0.34%,268.0684,29623100615.56,342987
2018-01-12,276.42,278.11,276.0819,277.92,90816076,1.742,0.65%,268.9879,25196413441.68,269924
2018-01-11,274.75,276.12,274.56,276.12,62361455,1.936,0.73%,267.2457,17178346441.57,188736
2018-01-10,273.68,274.42,272.92,274.12,69574318,-0.407,-0.15%,265.31,19051512051.39,209103
2018-01-09,274.40,275.25,274.081,274.54,57253957,0.60,0.23%,265.7165,15725523838.88,186073
2018-01-08,273.31,274.10,272.98,273.92,57319192,0.484,0.18%,265.1164,15690450265.41,150234
2018-01-05,272.51,273.56,271.95,273.42,83523995,1.752,0.67%,264.6325,22789169313.92,208413
2018-01-04,271.20,272.16,270.5447,271.61,80636408,1.103,0.42%,262.8807,21904701784.83,206555
2018-01-03,268.96,270.64,268.96,270.47,90070416,1.645,0.63%,261.7773,24321851609.72,233672
2018-01-02,267.84,268.81,267.40,268.77,86655749,1.849,0.72%,260.1319,23240209743.75,233353
