date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2019-10-31,144.90,144.93,142.99,143.37,24605135,-1.236,-0.86%,142.8838,3534846057.80,163313
2019-10-30,143.52,145.00,142.79,144.61,18496591,1.774,1.25%,144.1196,2661546745.17,155629
2019-10-29,144.08,144.50,142.65,142.83,20589469,-1.355,-0.94%,142.3457,2951496551.51,163297
2019-10-28,144.40,145.67,143.51,144.19,35280137,3.448,2.46%,143.7011,5091128464.45,253267
2019-10-25,139.34,141.14,139.20,140.73,25959724,0.787,0.56%,140.2528,3648615714.65,174457
2019-10-24,139.39,140.42,138.67,139.94,37278399,2.691,1.97%,139.4655,5209016190.14,249592
2019-10-23,136.88,137.45,135.61,137.24,31380309,0.867,0.64%,136.7746,4281570248.50,238257
2019-10-22,138.97,140.01,136.26,136.37,27935270,-2.053,-1.49%,135.9076,3848429085.60,206328
2019-10-21,138.45,138.50,137.01,138.43,20716039,1.017,0.74%,137.9606,2857773250.40,144616
2019-10-18,139.76,140.00,136.56,137.41,32284428,-2.272,-1.63%,136.944,4458512049.50,211084
2019-10-17,140.95,141.42,139.02,139.69,22102797,-0.718,-0.51%,139.2163,3090298782.98,157502
2019-10-16,140.79,140.99,139.53,140.41,20841687,-1.161,-0.82%,139.9339,2921506421.92,154234
2019-10-15,140.06,141.79,139.81,141.575,19917762,2.018,1.45%,141.0949,2814291953.19,142039
2019-10-14,139.69,140.29,139.52,139.55,13591639,-0.13,-0.09%,139.0768,1899969670.42,98719
2019-10-11,140.12,141.03,139.50,139.68,25551065,0.578,0.42%,139.2063,3586097977.25,221720
2019-10-10,138.49,139.6699,138.25,139.10,18396605,0.857,0.62%,138.6283,2558590717.08,158395
2019-10-09,137.46,138.70,136.97,138.24,20178482,2.561,1.89%,137.7712,2783399245.21,164218
2019-10-08,137.08,137.76,135.62,135.67,26783336,-1.445,-1.06%,135.2099,3657924257.93,228417
2019-10-07,137.14,138.18,137.02,137.12,16601284,-0.997,-0.72%,136.655,2281986368.22,129884
2019-10-04,136.75,138.25,136.42,138.12,23839548,1.834,1.35%,137.6516,3281232451.69,165035
2019-10-03,134.95,136.75,133.22,136.28,26379798,1.624,1.21%,135.8179,3576738493.31,218727
2019-10-02,136.25,136.37,133.5799,134.65,32001763,-2.412,-1.77%,134.1934,4306137868.21,257954
2019-10-01,139.66,140.25,137.00,137.07,22581929,-1.953,-1.41%,136.6052,3119608763.95,182324
2019-09-30,138.05,139.215,137.78,139.03,18430390,1.296,0.94%,138.5585,2557782388.61,133965
2019-09-27,140.15,140.36,136.645,137.73,22498958,-1.804,-1.30%,137.263,3107714876.61,200519
2019-09-26,139.44,140.18,138.44,139.54,17813512,0.179,0.13%,139.0668,2483198656.27,179580
2019-09-25,137.50,139.958,136.03,139.36,22544054,1.973,1.44%,138.8874,3117186681.32,225057
2019-09-24,140.36,140.69,136.88,137.38,30016670,-1.754,-1.26%,136.9141,4150989565.56,254373
2019-09-23,139.23,139.63,138.44,139.14,17408374,-0.299,-0.22%,138.6682,2422940143.84,141526
2019-09-20,141.01,141.65,138.25,139.44,40040766,-1.624,-1.16%,138.9672,5612941405.19,208400
2019-09-19,140.30,142.37,140.0736,141.07,36095413,2.541,1.84%,140.5916,5096360595.61,268325
2019-09-18,137.36,138.67,136.5299,138.52,24473386,1.126,0.82%,138.0503,3370311849.54,181394
2019-09-17,136.96,137.52,136.425,137.39,17976285,1.056,0.78%,136.9241,2464006976.13,129196
2019-09-16,135.83,136.70,135.66,136.33,16731440,-0.987,-0.72%,135.8677,2280846531.85,160553
2019-09-13,137.78,138.06,136.57,137.32,23363057,-0.199,-0.15%,136.8543,3208874175.89,187417
2019-09-12,137.85,138.42,136.87,137.52,27009981,1.395,1.03%,137.0537,3718499197.25,195621
2019-09-11,135.91,136.27,135.09,136.12,24726117,0.04,0.03%,135.6584,3356415325.27,200395
2019-09-10,136.80,136.8862,134.51,136.08,28903378,-1.435,-1.05%,135.6186,3915116287.17,256038
2019-09-09,139.59,139.75,136.46,137.52,25773932,-1.575,-1.14%,137.0537,3542593292.64,253677
2019-09-06,140.03,140.18,138.20,139.10,20824504,-0.947,-0.68%,138.6283,2898211194.13,180903
2019-09-05,139.11,140.3837,138.76,140.05,26119520,2.412,1.76%,139.5751,3648099567.29,196125
2019-09-04,137.30,137.69,136.48,137.63,18015310,1.585,1.17%,137.1633,2472817355.11,135146
2019-09-03,136.61,137.20,135.70,136.04,18880773,-1.814,-1.32%,135.5787,2572711480.41,145241
2019-08-30,139.15,139.18,136.27,137.86,23946123,-0.259,-0.19%,137.3925,3293714602.53,149853
2019-08-29,137.25,138.44,136.91,138.12,20179716,2.551,1.89%,137.6516,2784052180.90,151714
2019-08-28,134.88,135.76,133.55,135.56,17410828,-0.179,-0.13%,135.1003,2350126656.38,134513
2019-08-27,136.39,136.72,134.66,135.74,23115635,0.289,0.21%,135.2797,3139479231.92,151484
2019-08-26,134.99,135.56,133.90,135.45,20325271,2.053,1.54%,134.9907,2743190078.53,147293
2019-08-23,137.1897,138.35,132.80,133.39,38515386,-4.375,-3.19%,132.9377,5180385470.89,289937
2019-08-22,138.66,139.20,136.29,137.78,18709662,-1.007,-0.73%,137.3128,2574470707.96,134794
2019-08-21,138.55,139.4935,138.00,138.79,14982314,1.525,1.11%,138.3194,2079211736.82,116473
2019-08-20,138.21,138.71,137.24,137.26,21188998,-1.146,-0.83%,136.7946,2919078365.90,129617
2019-08-19,137.855,138.55,136.885,138.41,24370543,2.272,1.67%,137.9407,3363980177.54,157806
2019-08-16,134.88,136.46,134.72,136.13,25026151,2.442,1.83%,135.6684,3397080719.11,156847
2019-08-15,134.39,134.58,132.25,133.68,28125416,-0.299,-0.22%,133.2267,3753985477.92,210630
2019-08-14,136.36,136.92,133.67,133.98,32527251,-4.146,-3.01%,133.5257,4379197081.77,228364
2019-08-13,136.05,138.80,135.00,138.60,25496593,2.791,2.07%,137.6716,3520369948.61,204664
2019-08-12,137.07,137.86,135.24,135.79,20484348,-1.907,-1.39%,134.8804,2791896389.28,144470
2019-08-09,138.61,139.38,136.46,137.71,23466701,-1.172,-0.85%,136.7875,3232405499.36,173384
2019-08-08,136.60,138.99,135.93,138.89,27496508,3.586,2.67%,137.9596,3795229658.63,183289
2019-08-07,133.79,135.65,131.8284,135.28,33414539,0.586,0.44%,134.3738,4488141704.13,240549
2019-08-06,133.80,135.68,133.21,134.69,32696651,2.463,1.88%,133.7877,4393202167.85,237998
2019-08-05,133.30,133.9298,130.78,132.21,42749551,-4.659,-3.43%,131.3244,5664836624.53,331412
2019-08-02,138.09,138.32,135.26,136.90,30791624,-1.152,-0.84%,135.9829,4198285113.57,244997
2019-08-01,137.00,140.9383,136.93,138.06,40557502,1.778,1.31%,137.1352,5637973749.42,321338
2019-07-31,140.33,140.49,135.08,136.27,38598786,-4.053,-2.91%,135.3572,5321121371.93,271997
2019-07-30,140.14,141.2199,139.8005,140.35,16846528,-0.675,-0.48%,139.4098,2367851057.60,114241
2019-07-29,141.50,141.51,139.3663,141.03,16605870,-0.308,-0.22%,140.0853,2334928863.14,123134
2019-07-26,140.37,141.675,140.30,141.34,19037600,1.142,0.82%,140.3932,2686734986.03,122525
2019-07-25,140.43,140.61,139.3215,140.19,18356883,-0.526,-0.38%,139.2509,2571527883.43,146681
2019-07-24,138.90,140.74,138.85,140.72,20738275,1.42,1.03%,139.7774,2903974634.15,137834
2019-07-23,139.76,139.99,138.03,139.29,18034589,0.854,0.62%,138.3569,2503874238.51,134742
2019-07-22,137.41,139.19,137.33,138.43,25080760,1.798,1.32%,137.5027,3470957752.43,170374
2019-07-19,140.22,140.67,136.45,136.62,48992364,0.199,0.15%,135.7048,6771285188.56,338259
2019-07-18,135.55,136.62,134.67,136.42,30808707,0.149,0.11%,135.5062,4179329237.96,232591
2019-07-17,137.70,137.93,136.22,136.27,20210956,-0.805,-0.59%,135.3572,2769051098.98,146048
2019-07-16,138.96,139.05,136.52,137.08,22726128,-1.808,-1.31%,136.1617,3121612080.90,172114
2019-07-15,139.44,139.54,138.46,138.90,16651457,0.00,0.00%,137.9695,2312202652.74,127546
2019-07-12,138.85,139.13,138.0099,138.90,18936832,0.497,0.36%,137.9695,2627421471.38,134852
2019-07-11,138.20,139.22,137.87,138.40,22327942,0.546,0.40%,137.4729,3091640654.84,165863
2019-07-10,137.13,138.58,137.02,137.85,24204362,1.381,1.02%,136.9266,3334177054.62,155042
2019-07-09,136.00,136.97,135.80,136.46,19953097,-0.497,-0.37%,135.5459,2722317869.05,139629
2019-07-08,136.40,137.10,135.3701,136.96,16779748,-0.099,-0.07%,136.0425,2287991262.55,127681
2019-07-05,135.94,137.33,135.72,137.06,18141140,-0.397,-0.29%,136.1419,2477155487.34,138766
2019-07-03,136.80,137.74,136.295,137.46,13629296,0.874,0.64%,136.5392,1869693947.58,100840
2019-07-02,136.12,136.59,135.34,136.58,15237843,0.894,0.66%,135.6651,2073619373.60,140664
2019-07-01,136.63,136.70,134.97,135.68,22654160,1.708,1.28%,134.7711,3074439549.59,172947
2019-06-28,134.57,134.60,133.1558,133.96,30042969,-0.189,-0.14%,133.0626,4018775619.66,142933
2019-06-27,134.14,134.71,133.51,134.15,16557482,0.219,0.16%,133.2514,2220836847.43,129809
2019-06-26,134.35,135.74,133.60,133.93,23657745,0.497,0.37%,133.0328,3182829027.31,165608
2019-06-25,137.25,137.59,132.73,133.43,33327420,-4.321,-3.16%,132.5362,4478499373.24,261088
2019-06-24,137.00,138.40,137.00,137.78,20628841,0.805,0.59%,136.857,2842919370.41,135771
2019-06-21,136.58,137.73,136.46,136.97,36727892,0.02,0.01%,136.0525,5031081257.21,175880
2019-06-20,137.45,137.66,135.72,136.95,33042592,1.252,0.93%,136.0326,4518506619.56,200159
2019-06-19,135.00,135.93,133.81,135.69,23744441,0.526,0.39%,134.781,3205518008.18,165317
2019-06-18,134.19,135.24,133.57,135.16,25934458,2.295,1.74%,134.2546,3495655903.40,209171
2019-06-17,132.63,133.73,132.53,132.85,14517785,0.397,0.30%,131.9601,1930711560.03,106460
2019-06-14,132.26,133.79,131.64,132.45,17821703,0.129,0.10%,131.5628,2361756818.08,125537
2019-06-13,131.98,132.67,131.56,132.32,17200848,0.824,0.63%,131.4336,2271912050.63,130121
2019-06-12,131.40,131.97,130.71,131.49,17092464,-0.606,-0.46%,130.6092,2242892030.35,136840
2019-06-11,133.88,134.24,131.2757,132.10,23913731,-0.497,-0.38%,131.2151,3163214618.77,163001
2019-06-10,132.40,134.08,132.00,132.60,26477098,1.192,0.91%,131.7117,3522910830.41,203420
2019-06-07,129.19,132.25,128.26,131.40,33885588,3.556,2.80%,130.5198,4447301256.08,240621
2019-06-06,126.44,127.97,125.60,127.82,21458961,1.977,1.58%,126.9638,2722242333.75,152968
