date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2019-10-31,313.10,319.00,313.00,314.92,5066956,-0.09,-0.03%,314.92,1599107144.22,61746
2019-10-30,313.00,318.79,309.97,315.01,9641810,-1.21,-0.38%,315.01,3024125899.52,101674
2019-10-29,319.99,324.30,314.75,316.22,12684267,-11.49,-3.51%,316.22,4041983159.86,143593
2019-10-28,327.54,340.84,322.60,327.71,18870286,-0.42,-0.13%,327.71,6242743590.02,222826
2019-10-25,297.72,330.00,296.11,328.13,30006091,28.45,9.49%,328.13,9526807356.81,350914
2019-10-24,298.37,304.93,289.20,299.68,29819231,45.00,17.67%,299.68,8867627885.89,345500
2019-10-23,254.50,256.14,251.35,254.68,11216182,-0.90,-0.35%,254.68,2850772865.70,139221
2019-10-22,254.32,258.33,250.85,255.58,4625095,2.08,0.82%,255.58,1181380287.32,56276
2019-10-21,258.33,259.50,250.18,253.50,5108101,-3.45,-1.34%,253.50,1298710620.09,56139
2019-10-18,260.70,262.80,255.10,256.95,5753666,-5.02,-1.92%,256.95,1484520562.37,71859
2019-10-17,262.50,264.78,260.17,261.97,4779043,2.22,0.85%,261.97,1251924015.96,66213
2019-10-16,257.39,262.10,256.92,259.75,6704303,1.86,0.72%,259.75,1742477493.31,87620
2019-10-15,257.70,260.00,254.12,257.89,6479456,0.93,0.36%,257.89,1670790210.99,86511
2019-10-14,247.90,258.55,247.13,256.96,10226863,9.07,3.66%,256.96,2607503067.54,130264
2019-10-11,247.15,251.08,246.81,247.89,8488159,3.15,1.29%,247.89,2113246526.57,100466
2019-10-10,245.28,249.28,241.58,244.74,6313417,0.21,0.09%,244.74,1550765779.38,80861
2019-10-09,241.32,247.295,240.65,244.53,6935033,4.48,1.87%,244.53,1698095085.52,93687
2019-10-08,235.87,243.94,234.50,240.05,8702338,2.33,0.98%,240.05,2088505059.54,117031
2019-10-07,229.80,238.56,228.55,237.72,8086957,6.29,2.72%,237.72,1899930196.10,97331
2019-10-04,231.61,234.78,228.07,231.43,8021180,-1.60,-0.69%,231.43,1852114132.50,106994
2019-10-03,231.86,234.48,224.28,233.03,15137763,-10.10,-4.15%,233.03,3469311504.08,230596
2019-10-02,243.29,244.65,239.43,243.13,6256548,-1.56,-0.64%,243.13,1516369626.20,94931
2019-10-01,241.50,245.95,239.13,244.69,6196290,3.82,1.59%,244.69,1503755170.94,101684
2019-09-30,243.00,243.98,236.1111,240.87,5946161,-1.26,-0.52%,240.87,1429055607.72,86520
2019-09-27,242.20,248.71,238.73,242.13,11123179,-0.43,-0.18%,242.13,2706607384.00,167976
2019-09-26,230.66,243.31,227.40,242.56,12078785,13.86,6.06%,242.56,2850741647.87,173538
2019-09-25,224.56,228.98,218.36,228.70,9444286,5.49,2.46%,228.70,2121542959.07,135520
2019-09-24,241.52,241.99,222.61,223.21,12941112,-18.02,-7.47%,223.21,2953483280.33,208687
2019-09-23,240.00,245.1794,239.22,241.23,4391630,0.61,0.25%,241.23,1065762314.25,67929
2019-09-20,246.49,246.946,238.16,240.62,6506264,-5.98,-2.42%,240.62,1574092174.06,104885
2019-09-19,246.00,247.94,244.84,246.60,4883135,3.11,1.28%,246.60,1204189343.50,73918
2019-09-18,245.00,248.1685,242.37,243.49,4228103,-1.30,-0.53%,243.49,1034641293.27,74343
2019-09-17,242.47,245.60,240.37,244.79,3946909,1.98,0.82%,244.79,960346201.02,61943
2019-09-16,246.00,247.43,241.17,242.81,4728096,-2.39,-0.97%,242.81,1154017600.88,76983
2019-09-13,246.96,248.45,244.865,245.20,5313145,-0.67,-0.27%,245.20,1308234493.90,63214
2019-09-12,247.70,253.50,244.40,245.87,8581210,-1.23,-0.50%,245.87,2127957343.13,97853
2019-09-11,237.38,248.1741,236.00,247.10,10042777,11.56,4.91%,247.10,2448992392.22,128019
2019-09-10,230.80,235.54,228.94,235.54,4883714,3.75,1.62%,235.54,1138598854.27,54668
2019-09-09,230.00,233.76,229.23,231.79,4802669,4.34,1.91%,231.79,1111057068.30,54871
2019-09-06,227.20,229.64,225.17,227.45,4189372,-2.13,-0.93%,227.45,953800774.87,48237
2019-09-05,222.50,229.80,220.85,229.58,7403322,8.90,4.03%,229.58,1670938200.38,70088
2019-09-04,226.89,228.46,219.205,220.68,5768696,-4.33,-1.92%,220.68,1291888952.87,58577
2019-09-03,224.08,228.95,223.16,225.01,5360546,-0.60,-0.27%,225.01,1210857520.09,54020
2019-08-30,229.15,232.44,224.213,225.61,9327775,3.90,1.76%,225.61,2125572669.92,91631
2019-08-29,219.00,223.40,218.00,221.71,5183104,6.12,2.84%,221.71,1145843842.65,53735
2019-08-28,213.69,217.25,212.31,215.59,3238625,1.51,0.71%,215.59,697731769.82,37157
2019-08-27,215.74,218.80,212.03,214.08,5420727,-0.92,-0.43%,214.08,1169795363.87,52919
2019-08-26,213.60,215.02,211.54,215.00,5054414,3.60,1.70%,215.00,1078575894.46,48652
2019-08-23,219.97,221.17,211.00,211.40,8559704,-10.75,-4.84%,211.40,1843847516.34,92454
