date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2019-10-31,1775.99,1792.00,1771.48,1776.66,2781185,-3.33,-0.19%,1776.66,4946004753.71,66851
2019-10-30,1759.12,1782.38,1759.12,1779.99,2449405,17.28,0.98%,1779.99,4343109740.06,64129
2019-10-29,1774.81,1777.00,1755.81,1762.71,2276855,-14.37,-0.81%,1762.71,4018673004.75,61658
2019-10-28,1748.06,1778.70,1742.50,1777.08,3708851,15.75,0.89%,1777.08,6552876982.41,95767
2019-10-25,1697.55,1764.21,1695.00,1761.33,9626402,-19.45,-1.09%,1761.33,16709427922.35,284617
2019-10-24,1771.09,1788.34,1760.27,1780.78,5204350,18.61,1.06%,1780.78,9249223644.15,174751
2019-10-23,1761.30,1770.05,1742.00,1762.17,2190380,-3.56,-0.20%,1762.17,3850562246.48,68908
2019-10-22,1788.15,1789.78,1762.00,1765.73,2234425,-19.93,-1.12%,1765.73,3960176087.97,66614
2019-10-21,1769.66,1785.88,1765.00,1785.66,2224902,28.15,1.60%,1785.66,3955553256.46,58400
2019-10-18,1787.80,1793.98,1749.20,1757.51,3366091,-29.97,-1.68%,1757.51,5954408368.33,82367
2019-10-17,1796.49,1798.85,1782.02,1787.48,2713773,10.05,0.57%,1787.48,4859564844.64,76746
2019-10-16,1773.33,1786.24,1770.52,1777.43,2804068,10.05,0.57%,1777.43,4987987984.63,86957
2019-10-15,1742.14,1776.45,1740.62,1767.38,3129244,30.95,1.78%,1767.38,5507245010.62,94699
2019-10-14,1728.91,1741.89,1722.00,1736.43,1928898,4.51,0.26%,1736.43,3340823366.98,58921
2019-10-11,1742.92,1745.45,1729.86,1731.92,3279534,11.66,0.68%,1731.92,5705805599.72,98387
2019-10-10,1725.24,1738.29,1713.75,1720.26,2721531,-1.73,-0.10%,1720.26,4694705257.56,79256
2019-10-09,1719.61,1729.95,1714.36,1721.99,2089335,16.48,0.97%,1721.99,3599642123.88,68806
2019-10-08,1722.49,1727.00,1705.00,1705.51,2626840,-27.15,-1.57%,1705.51,4507690012.82,99715
2019-10-07,1731.63,1747.83,1723.70,1732.66,2187598,-6.99,-0.40%,1732.66,3797264372.32,69190
2019-10-04,1726.02,1740.58,1719.23,1739.65,2489277,15.23,0.88%,1739.65,4313080693.71,84806
2019-10-03,1713.00,1725.00,1685.06,1724.42,3624371,11.19,0.65%,1724.42,6195908326.50,130540
2019-10-02,1727.74,1728.89,1705.00,1713.23,3338476,-22.42,-1.29%,1713.23,5722270719.92,119891
2019-10-01,1746.00,1755.60,1728.41,1735.65,3170460,-0.26,-0.01%,1735.65,5519181756.83,100090
2019-09-30,1726.99,1737.46,1709.22,1735.91,2760768,10.46,0.61%,1735.91,4772893240.77,86774
2019-09-27,1748.00,1749.12,1713.82,1725.45,3948029,-14.39,-0.83%,1725.45,6825411716.15,133053
2019-09-26,1762.79,1763.37,1731.50,1739.84,3571952,-28.49,-1.61%,1739.84,6218621553.33,111272
2019-09-25,1747.36,1773.00,1723.00,1768.33,3531098,26.72,1.53%,1768.33,6182308525.72,121344
2019-09-24,1790.61,1795.70,1735.55,1741.61,4637901,-43.69,-2.45%,1741.61,8146571801.03,154522
2019-09-23,1777.00,1792.70,1767.32,1785.30,3139142,-8.86,-0.49%,1785.30,5587820739.15,93616
2019-09-20,1821.71,1830.63,1780.92,1794.16,5555839,-27.34,-1.50%,1794.16,10016662524.05,120308
2019-09-19,1821.02,1832.57,1817.90,1821.50,2078335,4.04,0.22%,1821.50,3794118300.96,61101
