date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2019-10-31,196.70,198.09,188.25,191.65,42286529,3.40,1.81%,191.65,8191686224.15,330445
2019-10-30,189.56,190.45,185.98,188.25,28734559,-1.06,-0.56%,188.25,5396898521.79,243303
2019-10-29,191.69,192.53,188.47,189.31,13574874,-0.09,-0.05%,189.31,2576645123.51,118287
2019-10-28,187.20,189.53,185.08,189.40,13657866,1.51,0.80%,189.40,2565885857.98,114062
2019-10-25,185.83,189.00,185.0876,187.89,8061240,1.51,0.81%,187.89,1513371014.76,74931
2019-10-24,184.62,186.73,182.80,186.38,11505406,0.23,0.12%,186.38,2129252206.88,104363
2019-10-23,182.01,186.38,182.00,186.15,12370819,3.81,2.09%,186.15,2286138435.45,108463
2019-10-22,190.00,190.65,181.50,182.34,19854192,-7.42,-3.91%,182.34,3671861111.35,186144
2019-10-21,187.04,189.91,186.75,189.76,8580744,3.91,2.10%,189.76,1620396698.16,70497
2019-10-18,190.23,191.49,183.9239,185.85,16882862,-4.54,-2.38%,185.85,3159234353.91,127414
2019-10-17,190.30,190.84,188.765,190.39,9761548,0.84,0.44%,190.39,1854769967.23,105501
2019-10-16,188.32,189.70,186.9002,189.55,10560343,0.66,0.35%,189.55,1992429059.07,115228
2019-10-15,183.80,190.38,183.66,188.89,15143119,5.61,3.06%,188.89,2858544040.67,142145
2019-10-14,184.20,184.62,182.5735,183.28,7203665,-0.91,-0.49%,183.28,1322543066.25,85589
2019-10-11,182.15,186.49,182.14,184.19,14998754,4.16,2.31%,184.19,2773631159.57,166454
2019-10-10,180.32,181.61,179.17,180.03,8980978,0.18,0.10%,180.03,1620173038.44,105585
2019-10-09,179.16,180.72,177.94,179.85,7648874,2.10,1.18%,179.85,1373367075.37,92641
2019-10-08,178.26,180.37,177.72,177.75,10084896,-1.93,-1.07%,177.75,1801950630.82,130928
2019-10-07,180.00,181.18,178.09,179.68,9359793,-0.77,-0.43%,179.68,1684735924.19,93480
2019-10-04,179.55,180.98,178.10,180.45,10476395,1.07,0.60%,180.45,1885571000.29,120866
2019-10-03,175.57,179.84,173.63,179.38,16789319,4.78,2.74%,179.38,2981609990.10,184466
2019-10-02,174.84,176.53,173.09,174.60,16374148,-1.21,-0.69%,174.60,2859819024.85,200140
2019-10-01,179.15,179.84,174.88,175.81,17261556,-2.27,-1.27%,175.81,3049172720.83,194955
2019-09-30,177.87,178.67,176.85,178.08,11071425,0.98,0.55%,178.08,1968574562.12,126368
2019-09-27,178.16,180.755,175.66,177.10,14663575,-3.01,-1.67%,177.10,2606432493.37,190679
2019-09-26,181.33,181.40,177.67,180.11,16280691,-2.69,-1.47%,180.11,2919636716.74,145413
2019-09-25,181.45,183.42,177.87,182.80,18339960,1.52,0.84%,182.80,3316848486.77,213883
2019-09-24,187.98,188.04,180.39,181.28,18775666,-5.54,-2.97%,181.28,3437062171.34,235938
2019-09-23,189.34,190.10,185.2062,186.82,14370089,-3.11,-1.64%,186.82,2685100936.38,142505
2019-09-20,190.66,193.10,188.12,189.93,20359878,-0.21,-0.11%,189.93,3879882370.30,152059
2019-09-19,188.66,191.10,188.15,190.14,10474685,2.00,1.06%,190.14,1989652704.39,88078
2019-09-18,188.09,189.08,186.012,188.14,9945798,0.06,0.03%,188.14,1867073865.35,94078
2019-09-17,186.66,188.32,185.54,188.08,9751570,1.86,1.00%,188.08,1820759614.28,89144
2019-09-16,186.93,187.7943,185.765,186.22,8444844,-0.97,-0.52%,186.22,1574964301.15,111434
2019-09-13,187.325,187.97,186.54,187.19,11441116,-0.28,-0.15%,187.19,2142699114.91,145863
2019-09-12,189.86,190.93,187.23,187.47,11419775,-1.02,-0.54%,187.47,2154374287.77,126564
2019-09-11,186.46,189.44,186.08,188.49,11761660,2.32,1.25%,188.49,2211503646.37,142389
2019-09-10,187.44,188.10,184.55,186.17,15455867,-2.59,-1.37%,186.17,2880393951.96,223286
2019-09-09,187.73,188.98,185.8466,188.76,14722402,1.27,0.68%,188.76,2761614445.88,175145
2019-09-06,190.21,190.21,186.35,187.49,15226820,-3.41,-1.79%,187.49,2854519930.58,198896
2019-09-05,188.53,191.36,187.94,190.90,13896621,3.76,2.01%,190.90,2645180367.63,136750
2019-09-04,184.65,187.7494,183.89,187.14,11314571,4.75,2.60%,187.14,2109609230.57,117998
2019-09-03,184.00,185.67,182.11,182.39,9792187,-3.28,-1.77%,182.39,1796659846.24,92188
2019-08-30,186.78,186.8017,183.4585,185.67,10785722,0.10,0.05%,185.67,1993452053.42,95458
2019-08-29,183.77,186.0752,183.47,185.57,10135033,3.81,2.10%,185.57,1876580727.39,99580
2019-08-28,180.53,181.95,178.92,181.76,9392060,0.46,0.25%,181.76,1700502180.26,87617
2019-08-27,181.93,184.04,181.01,181.30,14408946,0.94,0.52%,181.30,2625183810.88,116165
2019-08-26,179.40,180.50,178.24,180.36,8780477,2.61,1.47%,180.36,1576820985.49,85133
2019-08-23,180.84,183.13,176.66,177.75,17331221,-4.29,-2.36%,177.75,3098280454.18,165912
2019-08-22,183.43,184.11,179.91,182.04,10829509,-1.51,-0.82%,182.04,1969064384.51,102997
2019-08-21,185.00,185.90,183.14,183.55,8409548,-0.26,-0.14%,183.55,1551727013.40,69006
2019-08-20,185.45,186.00,182.39,183.81,10087592,-2.36,-1.27%,183.81,1860421172.37,85706
2019-08-19,186.01,187.50,184.85,186.17,9699661,2.47,1.34%,186.17,1807619483.19,82663
2019-08-16,183.75,185.10,182.36,183.70,12844832,1.11,0.61%,183.70,2358351899.01,99956
2019-08-15,180.95,183.20,180.03,182.59,13059640,2.88,1.60%,182.59,2375619482.08,123133
2019-08-14,185.80,185.99,179.31,179.71,18903716,-8.74,-4.64%,179.71,3428222564.12,171542
2019-08-13,185.52,191.38,185.37,188.45,13653319,3.08,1.66%,188.45,2582253956.44,137197
2019-08-12,186.85,187.59,184.46,185.37,10936283,-2.48,-1.32%,185.37,2033939317.54,97311
2019-08-09,190.00,190.98,187.12,187.85,11058811,-2.31,-1.21%,187.85,2085827103.39,109865
2019-08-08,186.62,190.34,184.05,190.16,14828916,5.01,2.71%,190.16,2793962137.00,126005
2019-08-07,183.60,186.37,181.22,185.15,15833197,0.64,0.35%,185.15,2920855521.35,137678
2019-08-06,183.69,185.789,183.09,184.51,18035686,2.78,1.53%,184.51,3324234425.29,150997
2019-08-05,184.69,185.67,179.34,181.73,23086655,-7.29,-3.86%,181.73,4205877494.80,225421
2019-08-02,191.10,192.62,188.07,189.02,15296975,-3.71,-1.92%,189.02,2900292432.67,150389
2019-08-01,194.17,198.47,190.88,192.73,17777013,-1.50,-0.77%,192.73,3462254233.97,174108
2019-07-31,196.95,198.76,192.68,194.23,14593544,-2.81,-1.43%,194.23,2860030377.79,145114
2019-07-30,195.39,198.71,193.50,197.04,11903558,1.10,0.56%,197.04,2341655645.29,117543
2019-07-29,199.00,199.63,195.30,195.94,16530801,-3.81,-1.91%,195.94,3245859788.81,145555
2019-07-26,200.19,202.88,196.25,199.75,24433985,-0.96,-0.48%,199.75,4866307686.41,204669
