date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2019-10-31,1261.28,1267.67,1250.84,1260.11,1455651,-1.18,-0.09%,1260.11,1830730383.62,34559
2019-10-30,1252.97,1269.36,1252.00,1261.29,1408851,-1.33,-0.11%,1261.29,1776462181.48,38715
2019-10-29,1276.23,1281.59,1257.21,1262.62,1886380,-27.38,-2.12%,1262.62,2384155332.33,51416
2019-10-28,1275.45,1299.31,1272.54,1290.00,2613237,24.87,1.97%,1290.00,3370344102.04,70393
2019-10-25,1251.03,1269.60,1250.01,1265.13,1213051,4.14,0.33%,1265.13,1532659842.70,29643
2019-10-24,1260.90,1264.00,1253.71,1260.99,1039868,1.86,0.15%,1260.99,1309917487.34,26138
2019-10-23,1242.36,1259.89,1242.36,1259.13,928595,16.33,1.31%,1259.13,1165431464.71,25052
2019-10-22,1247.85,1250.60,1241.38,1242.80,1047851,-3.35,-0.27%,1242.80,1304916262.08,26940
2019-10-21,1252.26,1254.63,1240.60,1246.15,1038042,0.66,0.05%,1246.15,1294379631.20,23127
2019-10-18,1253.46,1258.89,1241.08,1245.49,1352839,-7.58,-0.60%,1245.49,1690425294.15,30649
2019-10-17,1250.93,1263.33,1249.94,1253.07,980510,9.43,0.76%,1253.07,1229854222.48,26217
2019-10-16,1241.17,1254.74,1238.45,1243.64,1168174,0.63,0.05%,1243.64,1455875794.42,29324
2019-10-15,1220.40,1247.33,1220.40,1243.01,1395259,25.87,2.13%,1243.01,1727373713.65,143571
2019-10-14,1212.34,1226.33,1211.76,1217.14,882039,1.69,0.14%,1217.14,1075956120.91,24896
2019-10-11,1222.21,1228.39,1213.74,1215.45,1277144,6.78,0.56%,1215.45,1560949470.96,36783
2019-10-10,1198.58,1215.00,1197.34,1208.67,932531,6.36,0.53%,1208.67,1126204670.57,26415
2019-10-09,1199.35,1208.35,1197.63,1202.31,876632,13.18,1.11%,1202.31,1054138022.74,29165
2019-10-08,1197.59,1206.08,1189.01,1189.13,1141784,-18.55,-1.54%,1189.13,1363959261.35,32405
2019-10-07,1204.40,1218.20,1203.75,1207.68,867149,-1.32,-0.11%,1207.68,1050026206.25,27146
2019-10-04,1191.89,1211.44,1189.17,1209.00,1183264,21.17,1.78%,1209.00,1424598360.35,34915
2019-10-03,1180.00,1189.06,1162.43,1187.83,1663656,11.20,0.95%,1187.83,1963537164.36,47297
2019-10-02,1196.98,1196.99,1171.29,1176.63,1639237,-28.47,-2.36%,1176.63,1932693027.42,51998
2019-10-01,1219.00,1231.23,1203.58,1205.10,1358279,-13.90,-1.14%,1205.10,1646803837.38,36506
2019-09-30,1220.97,1226.00,1212.30,1219.00,1419676,-6.09,-0.50%,1219.00,1730269577.80,44852
2019-09-27,1243.01,1244.02,1214.45,1225.09,1354432,-16.30,-1.31%,1225.09,1661401443.67,49171
2019-09-26,1241.96,1245.00,1232.27,1241.39,1561882,-5.13,-0.41%,1241.39,1935529453.36,39374
2019-09-25,1215.82,1248.30,1210.09,1246.52,1593875,27.76,2.28%,1246.52,1965893681.27,32945
2019-09-24,1240.00,1246.74,1210.68,1218.76,1591786,-15.27,-1.24%,1218.76,1952937841.32,37150
2019-09-23,1226.00,1239.09,1224.17,1234.03,1075253,4.10,0.33%,1234.03,1326468573.38,23985
2019-09-20,1233.12,1243.32,1223.08,1229.93,2337269,-8.78,-0.71%,1229.93,2881812499.35,30611
2019-09-19,1232.06,1244.44,1232.02,1238.71,1000155,6.30,0.51%,1238.71,1239484800.37,27398
2019-09-18,1227.51,1235.61,1216.53,1232.41,1144333,3.26,0.27%,1232.41,1405261075.70,26415
2019-09-17,1230.40,1235.00,1223.69,1229.15,958112,-2.15,-0.17%,1229.15,1176318022.25,22549
2019-09-16,1229.52,1239.56,1225.61,1231.30,1053299,-8.26,-0.67%,1231.30,1297486950.32,26385
2019-09-13,1231.35,1240.88,1227.01,1239.56,1301350,5.31,0.43%,1239.56,1607498820.97,31277
2019-09-12,1224.30,1241.86,1223.02,1234.25,1725908,14.08,1.15%,1234.25,2132487931.41,44917
2019-09-11,1203.41,1222.60,1202.20,1220.17,1307033,14.17,1.17%,1220.17,1590868782.95,33633
2019-09-10,1195.15,1210.00,1194.58,1206.00,1260115,1.59,0.13%,1206.00,1515106251.29,33277
2019-09-09,1204.00,1220.00,1192.62,1204.41,1471880,-0.52,-0.04%,1204.41,1775455632.69,37758
