date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2019-10-31,197.40,198.00,195.6302,196.70,4960480,-0.19,-0.10%,196.70,974979397.47,51066
2019-10-30,193.29,197.00,191.68,196.89,6330296,4.27,2.22%,196.89,1233744868.38,60079
2019-10-29,192.00,193.20,191.64,192.62,4451977,0.84,0.44%,192.62,858039735.59,49370
2019-10-28,194.98,195.32,191.50,191.78,7704253,-2.83,-1.45%,191.78,1481626481.75,71951
2019-10-25,196.10,196.65,194.4013,194.61,4773074,-1.41,-0.72%,194.61,932008056.20,50529
2019-10-24,199.54,199.55,195.7906,196.02,5003915,-3.19,-1.60%,196.02,985805591.86,57161
2019-10-23,200.11,201.1371,198.02,199.21,7964241,-0.06,-0.03%,199.21,1586027616.04,65278
2019-10-22,205.09,205.25,199.15,199.27,10329242,-10.58,-5.04%,199.27,2082648313.02,114209
2019-10-21,209.70,210.76,208.4427,209.85,3738156,1.35,0.65%,209.85,784601510.51,43566
2019-10-18,206.80,209.05,206.73,208.50,3518339,1.65,0.80%,208.50,732783455.52,39754
2019-10-17,208.50,209.49,206.84,206.85,3353713,-1.45,-0.70%,206.85,696227746.80,32846
2019-10-16,207.00,208.9329,206.81,208.30,2909260,1.08,0.52%,208.30,605940504.06,31126
2019-10-15,209.56,209.72,206.5217,207.22,3815793,-1.16,-0.56%,207.22,791723466.13,41297
2019-10-14,208.00,210.02,207.7883,208.38,3097767,-0.64,-0.31%,208.38,646741178.21,33944
2019-10-11,213.03,213.27,208.67,209.02,3961868,-2.74,-1.29%,209.02,833734868.02,45885
2019-10-10,211.76,213.13,211.50,211.76,2489450,-1.07,-0.50%,211.76,527993074.17,27444
2019-10-09,211.70,213.47,211.62,212.83,1757019,1.72,0.81%,212.83,373647910.04,23754
2019-10-08,210.98,213.14,209.97,211.11,2565601,-0.81,-0.38%,211.11,542452662.36,31817
2019-10-07,211.10,212.87,211.10,211.92,3061042,0.23,0.11%,211.92,649388569.15,29649
2019-10-04,210.83,211.71,210.04,211.69,2226894,1.66,0.79%,211.69,470083592.37,25670
2019-10-03,206.82,210.03,206.33,210.03,3516540,3.76,1.82%,210.03,734628960.23,31590
2019-10-02,207.93,208.48,205.5928,206.27,4185828,-2.75,-1.32%,206.27,864880473.67,45526
2019-10-01,211.13,211.70,208.46,209.02,5001308,-5.69,-2.65%,209.02,1047706118.24,54890
2019-09-30,213.16,215.36,212.805,214.71,2496830,1.55,0.73%,214.71,535758126.20,30048
2019-09-27,213.06,213.63,212.285,213.16,2333186,0.56,0.26%,213.16,496604419.33,28222
2019-09-26,214.22,215.67,212.48,212.60,3057768,-0.03,-0.01%,212.60,652963459.83,32042
2019-09-25,212.02,213.15,211.00,212.63,2430629,0.61,0.29%,212.63,516385057.72,31722
2019-09-24,212.50,213.52,211.55,212.02,3092322,0.48,0.23%,212.02,656977854.23,33679
2019-09-23,209.06,212.47,209.06,211.54,3358183,2.15,1.03%,211.54,710124164.47,27569
2019-09-20,210.34,211.78,209.37,209.39,6008000,-1.13,-0.54%,209.39,1262325187.10,38005
2019-09-19,210.38,211.83,209.87,210.52,2611701,0.09,0.04%,210.52,550649881.86,28976
2019-09-18,210.65,210.88,208.285,210.43,2545454,0.58,0.28%,210.43,533779417.98,31163
2019-09-17,208.00,210.84,207.49,209.85,3692618,2.45,1.18%,209.85,774237223.95,40975
2019-09-16,209.30,209.86,207.33,207.40,3436025,-2.41,-1.15%,207.40,715412851.38,38272
2019-09-13,212.50,212.7786,208.95,209.81,3790162,-2.34,-1.10%,209.81,797568830.58,44185
2019-09-12,211.90,214.0259,211.30,212.15,3438365,1.95,0.93%,212.15,731750686.88,37118
2019-09-11,209.69,211.55,208.54,210.20,3388548,0.52,0.25%,210.20,711167936.58,39425
2019-09-10,215.43,215.43,208.28,209.68,6405023,-7.58,-3.49%,209.68,1345157547.35,80872
2019-09-09,220.50,220.50,217.16,217.26,2534661,-2.77,-1.26%,217.26,553179340.72,32255
2019-09-06,219.81,220.84,219.45,220.03,1976458,0.54,0.25%,220.03,435155965.30,24541
2019-09-05,220.21,220.33,218.40,219.49,2752067,0.99,0.45%,219.49,603846533.87,29048
2019-09-04,217.50,219.2614,216.50,218.50,2252230,1.37,0.63%,218.50,491585913.35,30188
2019-09-03,217.93,218.67,216.28,217.13,3183132,-0.84,-0.39%,217.13,691210833.48,29103
2019-08-30,219.80,220.00,216.935,217.97,2733665,-1.41,-0.64%,217.97,596446513.18,29951
2019-08-29,219.83,221.015,218.37,220.54,2730740,2.457,1.13%,219.38,600939959.49,31539
2019-08-28,216.62,218.21,215.40,218.07,2152034,2.009,0.93%,216.923,467556073.87,27107
2019-08-27,217.58,217.90,216.05,216.05,2070202,-0.855,-0.40%,214.9136,448733402.00,27436
2019-08-26,216.08,217.18,214.21,216.91,2553406,2.238,1.05%,215.7691,552178817.26,32592
2019-08-23,219.17,219.47,213.89,214.66,3662483,-4.805,-2.20%,213.5309,790340684.51,45839
2019-08-22,220.54,220.89,217.88,219.49,2551256,-1.214,-0.55%,218.3355,559213930.57,32660
2019-08-21,219.90,220.79,218.73,220.71,2053321,2.228,1.03%,219.5491,452006085.33,22407
2019-08-20,218.86,219.92,218.35,218.47,2334864,-0.308,-0.14%,217.3208,511147513.95,25997
2019-08-19,219.99,220.21,217.11,218.78,2721167,0.308,0.14%,217.6292,594934199.87,30429
2019-08-16,219.18,219.82,217.30,218.47,2475934,0.199,0.09%,217.3208,540707874.10,26345
2019-08-15,216.00,218.48,215.665,218.27,2774122,1.781,0.83%,217.1219,603767002.74,32737
2019-08-14,218.95,219.74,216.38,216.48,3233712,-3.233,-1.48%,215.3413,704037907.45,38071
2019-08-13,220.00,220.22,218.04,219.73,2923623,2.556,1.18%,218.5742,641455750.14,37978
2019-08-12,220.44,220.6499,216.37,217.16,3225628,-3.969,-1.80%,216.0177,702959793.98,46746
2019-08-09,218.08,221.93,218.08,221.15,3783954,3.123,1.44%,219.9868,834151109.68,41338
2019-08-08,217.31,219.74,216.17,218.01,3724277,1.174,0.54%,216.8633,813052036.48,42002
2019-08-07,213.26,217.56,211.34,216.83,3767220,2.736,1.28%,215.6895,813315086.33,42827
2019-08-06,210.50,214.55,209.88,214.08,2970342,3.611,1.72%,212.9539,633541150.08,35863
2019-08-05,213.64,214.605,209.425,210.45,3685561,-4.009,-1.88%,209.343,778679169.51,46491
2019-08-02,211.30,215.09,210.89,214.48,3517803,3.213,1.53%,213.3518,750275718.74,41173
2019-08-01,211.18,213.13,210.11,211.25,3232059,0.527,0.25%,210.1388,684725099.27,40759
