date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2019-10-31,291.00,291.45,284.78,287.41,5090021,-4.04,-1.39%,287.41,1462451217.91,64654
2019-10-30,284.34,293.49,283.00,291.45,9345562,10.24,3.64%,291.45,2714789445.64,109854
2019-10-29,281.87,284.41,277.545,281.21,4356181,-0.65,-0.23%,281.21,1223922236.56,56562
2019-10-28,278.05,285.75,277.35,281.86,6248433,5.04,1.82%,281.86,1766605996.72,74507
2019-10-25,270.68,277.77,270.18,276.82,4747829,5.32,1.96%,276.82,1307487977.67,61590
2019-10-24,271.81,274.02,268.80,271.50,4911033,0.23,0.08%,271.50,1332908058.35,60774
2019-10-23,268.06,273.92,266.63,271.27,7154430,4.58,1.72%,271.27,1941765230.47,86561
2019-10-22,271.159,275.41,265.80,266.69,11865593,-11.36,-4.09%,266.69,3192374375.06,135012
2019-10-21,272.89,279.9399,269.00,278.05,12633959,2.75,1.00%,278.05,3482712689.90,129149
2019-10-18,289.36,290.90,273.36,275.30,23449638,-18.05,-6.15%,275.30,6545586305.62,251508
2019-10-17,304.49,308.75,288.3001,293.35,38462343,7.07,2.47%,293.35,11437965792.83,393312
2019-10-16,283.12,288.17,280.7431,286.28,18413335,2.03,0.71%,286.28,5238574676.04,222566
2019-10-15,283.82,285.87,279.40,284.25,7728161,-1.28,-0.45%,284.25,2193186502.90,95194
2019-10-14,283.93,286.93,282.00,285.53,5543120,2.60,0.92%,285.53,1579682472.77,65150
2019-10-11,284.80,287.87,275.8947,282.93,8817301,2.45,0.87%,282.93,2514148586.53,112987
2019-10-10,265.97,280.53,265.0337,280.48,10961191,12.95,4.84%,280.48,3029093389.24,125452
2019-10-09,270.02,271.00,264.57,267.53,6843488,-3.19,-1.18%,267.53,1826801199.98,89854
2019-10-08,273.03,275.53,270.6427,270.72,6302269,-3.74,-1.36%,270.72,1722613775.52,80865
2019-10-07,271.99,276.68,271.28,274.46,6796811,1.67,0.61%,274.46,1864827875.44,85000
2019-10-04,268.20,275.4846,266.47,272.79,9992774,4.64,1.73%,272.79,2713564890.10,108627
2019-10-03,267.78,268.843,257.01,268.15,9068810,0.12,0.04%,268.15,2391285368.29,98483
2019-10-02,263.61,269.35,262.19,268.03,7773299,-1.55,-0.57%,268.03,2074414962.48,108922
2019-10-01,267.35,272.20,264.03,269.58,8786284,1.96,0.73%,269.58,2356826871.85,108648
2019-09-30,264.00,268.88,262.78,267.62,6823100,4.54,1.73%,267.62,1819599564.45,74759
2019-09-27,266.175,267.44,260.39,263.08,7367491,-0.23,-0.09%,263.08,1937276785.39,91141
2019-09-26,266.42,268.05,260.20,263.31,7696858,-1.44,-0.54%,263.31,2027031953.91,85539
2019-09-25,255.71,266.60,253.70,264.75,11846748,10.16,3.99%,264.75,3085015425.79,124921
2019-09-24,262.50,265.00,252.28,254.59,16392808,-11.33,-4.26%,254.59,4217267980.70,186365
